year,make,model,description,price,location,img_url,ad_url
2009,Toyota,hiace,,24990,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450221711_10160589903886953_8505371686026474650_n.jpg?stp=c0.364.945.945a_dst-jpg_s261x260&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=h7G-PW-MCPYQ7kNvgEwTCcK&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBiKq66LJKmKLDmlhuf_Sysd-Ca1bcmtI391glk9P72CQ&oe=66B8B0B9,https://www.facebook.com/marketplace/item/121325612003409
2009,Toyota,hiace,,15000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450371099_10159855085340925_5265065508704514234_n.jpg?stp=c151.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=TbNu8pKEkB0Q7kNvgH1gn0D&_nc_ht=scontent.fmel16-1.fna&oh=00_AYC75g_vzYI2QNY21jhdeVzyHWb_fuM08kEhaLIK_39yXA&oe=66B8D9E3,https://www.facebook.com/marketplace/item/829594702157517
1999,Toyota,hiace,,6500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449314235_1643445612863972_5315788975119501624_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=MZgy-eUsK78Q7kNvgH9jRKE&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB6yJrw8rW_G1aww-PopREpLxKqD51DI-INpDarthD91Q&oe=66B8CBD0,https://www.facebook.com/marketplace/item/100358227433596
2014,Toyota,Hiace,lwb,29000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454247701_519548327315021_7232687041163996872_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_ohc=VGcHP07khKgQ7kNvgErhwaI&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDoBVqIQa297nf55gYuC0cDeGN554lMBMqtvhCBSaddlw&oe=66B8B069,https://www.facebook.com/marketplace/item/830949445576741
2000,Toyota,hiace,,11000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/451276231_1340181027369927_4963396162026970350_n.jpg?stp=c152.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=RNYSzS1qWYcQ7kNvgFQ6452&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBt3g1zK6xVjo2EaTU4BQglnpGY8hP2-WWgIVUaHQRZAw&oe=66B8A80B,https://www.facebook.com/marketplace/item/245802992106910
2010,Toyota,hiace,,8823,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450317202_1034445108112322_3021367480398818172_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=czFtmwyLhL0Q7kNvgFRg6gL&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDb6KtXQYduKMQNzdloVTdpYnOK3T-utKDOvBy0bTn3qw&oe=66B8AE94,https://www.facebook.com/marketplace/item/304179672789710
2012,Toyota,hiace,,19000,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/453392060_1932197627235295_9023282135010496951_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=S9464--6yQkQ7kNvgEwA633&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCTb4llqI_drdupikX2pUjeNjS_5jBwvwW0LDO1ti-ZtA&oe=66B8C9F3,https://www.facebook.com/marketplace/item/121481246638309
2010,Toyota,hiace,widebody hiroof !,24995,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454248808_1048686560211573_2226080280743661384_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=_Cm2H7qGx9AQ7kNvgG7C4pc&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCpy0urrF-yI9nJAd_3l2noVymw8zmErvq6jU6ThscvMA&oe=66B8D884,https://www.facebook.com/marketplace/item/116809398445761
2013,Toyota,hiace,,18500,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/446906825_3229505863846930_388842505271339409_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=MpRJhoQf7eUQ7kNvgHwXwu5&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB0ElqPJ2NFk_Yw9b7i0j3YZmqR3BPMRkO-9vZ6dkwqSg&oe=66B8B28C,https://www.facebook.com/marketplace/item/100659653111405
1997,Toyota,hiace,,2950,"Melbourne, VIC",https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451842143_7876866119017923_6928642321394649780_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=H7NtxCEp2KwQ7kNvgHYMjzo&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA0YWdVPTTNHzVTBgqM5an9FKar9PHl8O_Kzz_Slte7rw&oe=66B8B2A3,https://www.facebook.com/marketplace/item/281942434975554
