year,make,model,description, price ,mileage,location,ad_url,img_url
2017,Toyota,hiace,," $32,990 ",78,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2180591042308817,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451167910_3740672669482570_960461099817151271_n.jpg?stp=c19.0.258.258a_dst-jpg_p296x100&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=l7yrqPHtsaoQ7kNvgGZ8Q3R&_nc_ht=scontent.fmel16-1.fna&oh=00_AYA55eE7EQS_jRxeQPPIoW9qZDsWzNyNZbk6cSG3ltlCxw&oe=66B8E90F
2017,Toyota,hiace,long wheel-base," $35,799 ",78,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1003707191070680,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450775399_389952570767712_3741800384638980633_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=XS7GiuGluBMQ7kNvgHcXgzk&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDt-Phs2fcjDA0eJd5G9tOW-rpLwL1aeL0SOj9ZqH8-BA&oe=66B8F8DA
2020,Toyota,hiace,," $45,000 ",78,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1209531260053955,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451459141_1176850880104088_2104938806954674054_n.jpg?stp=c0.296.1152.1152a_dst-jpg_s261x260&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=WdGMBFR7cqsQ7kNvgGxIvvT&_nc_ht=scontent.fmel16-1.fna&oh=00_AYB4Fw5HSuWe3V1RxwqSaDXNQEhQRN1ST8FjP76b8wj61g&oe=66B8CDE0
2018,Toyota,hiace,dx," $33,495 ",80,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2796306043881219,https://scontent.fmel16-1.fna.fbcdn.net/v/t45.5328-4/454057828_889583599871121_8825292736070622549_n.jpg?stp=c65.0.260.260a_dst-jpg_p261x260&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=-gw8uBe0-XYQ7kNvgFR5KMg&_nc_ht=scontent.fmel16-1.fna&oh=00_AYCAIaLYd3KhvxVOr68tfOOayUvktFhh6BeH9ZkgakUDLA&oe=66B8F807
2020,Toyota,hiace,super lwb," $53,999 ",80,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1630186077715157,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445545072_3799261890353649_4873066727592658619_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=QnYfD8EpqkQQ7kNvgHptqDI&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBGCgrgZD_IRTK8R5NbSNAgAJyvIuaT3qYrz4hWiJ9K9A&oe=66B8D3F1
2017,Toyota,hiace,," $39,990 ",82,"Mount Cottrell, VIC",https://www.facebook.com/marketplace/item/808654611332366,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/449926882_10234485663986382_3687517469514166168_n.jpg?stp=c0.363.947.947a_dst-jpg_s261x260&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=8G0eRjSjNxoQ7kNvgHgNKZA&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBPMnt0K1RqtRfOYip1LP4egrJm79QxY05zjoCsB7Jpkw&oe=66B8F250
2017,Toyota,hiace,," $31,000 ",85,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1142160770175575,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451846949_2559067647598010_1278686672393693439_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=1YhQvjOmTIkQ7kNvgGDhU8a&_nc_ht=scontent.fmel16-1.fna&oh=00_AYAZP-_UlCZvGo9iYMlXjbJo3B__B7lrO-wXEa4XCEf8tg&oe=66B8C856
2020,Toyota,hiace,," $45,000 ",86,"Melbourne, VIC",https://www.facebook.com/marketplace/item/2111654072539597,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/445478896_10161415446722958_6049027656819587955_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=luWCBIAqAy0Q7kNvgEK8tzP&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDrHmMjkpqEQnAcknY4oMMFt4HWq6mRnxrPzQ34FaFgCA&oe=66B8D4EB
2021,Toyota,hiace,van lwb 2.8l diesel - auto," $45,000 ",86,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1192288148586798,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/451546468_8498077390221993_4478046115424355114_n.jpg?stp=c0.29.261.261a_dst-jpg_p261x260&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=paDlCJ_-P-gQ7kNvgEGFByh&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDgCT6-iTWUzpVbm0iV2z6MH-sJVAzpF-U45wgu_dqZfw&oe=66B8D650
2016,Toyota,hiace,," $31,000 ",87,"Melbourne, VIC",https://www.facebook.com/marketplace/item/406832792029689,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/429576612_278327521951319_479909249777849564_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=lLq8uoqYtgAQ7kNvgEi08l2&_nc_ht=scontent.fmel16-1.fna&oh=00_AYBqP6PozGbqIq9GfMI-kWI8v5BbmKs4vyqVmwpl8Q9qgQ&oe=66B8D00E
2021,Toyota,hiace,diesel," $36,490 ",88,"Melbourne, VIC",https://www.facebook.com/marketplace/item/1000249231764666,https://scontent.fmel16-1.fna.fbcdn.net/v/t39.30808-6/450666453_501117509258041_2153659280914856159_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260&_nc_cat=107&ccb=1-7&_nc_sid=454cf4&_nc_ohc=IT3Lxq3xNh4Q7kNvgHqQfmh&_nc_ht=scontent.fmel16-1.fna&oh=00_AYDw5i4L8-1WkU4KeJnOgyR3MTjqDneTXSPgSm0GtLjkFg&oe=66B8F393
